"","GENE","FREQUENCY"
"923","ST3GAL2",0.436
"924","ARHGEF40",0.434
"925","PAXBP1",0.433
"926","PGBD1",0.433
"927","KIAA0040",0.431
"928","VAC14",0.428
"929","HSP90AA1",0.427
"930","RABL2B",0.425
"931","HES7",0.423
"932","NRBP2",0.423
"933","NUAK2",0.423
"934","SIMC1",0.423
"935","AP000692.10",0.422
"936","TOR1AIP2",0.422
"937","DEFB4A",0.421
"938","C1QTNF6",0.419
"939","RP11-138A9.1",0.419
"940","USP31",0.417
"941","ANAPC15",0.416
"942","EIF5AL1",0.415
"943","FAM3B",0.415
"944","LPAR1",0.414
"945","SMC2",0.414
"946","EPB41L4A-AS1",0.413
"947","JARID2",0.413
"948","CBR3",0.41
"949","CRIM1",0.41
"950","FAM20C",0.409
"951","NCF1",0.409
"952","TMEM156",0.409
"953","FTX",0.408
"954","NPHP4",0.408
"955","RP11-284F21.10",0.408
"956","SH3KBP1",0.408
"957","DUSP2",0.407
"958","MGST1",0.407
"959","ZNF141",0.406
"960","ZNF165",0.406
"961","ADGRG1",0.405
"962","CHML",0.405
"963","MCM6",0.405
"964","COG1",0.404
"965","EPS8L1",0.403
"966","SPIN4",0.403
"967","DAB2",0.402
"968","KLHL23",0.402
"969","NHSL1",0.402
"970","AGK",0.401
"971","JADE1",0.401
"972","LINC01208",0.401
"973","MYBL2",0.401
"974","VSIG10",0.401
"975","MTHFD2",0.399
"976","NKX2-8",0.399
"977","PLEKHN1",0.398
"978","KRT80",0.397
"979","MGAM",0.397
"980","DNAL1",0.396
"981","KLHL15",0.396
"982","ZFP30",0.395
"983","FERMT2",0.394
"984","PDE4D",0.394
"985","NAV1",0.393
"986","SNX10",0.393
"987","ERMP1",0.392
"988","EBLN2",0.391
"989","LAMA5",0.391
"990","TESC",0.391
"991","ZNF557",0.391
"992","TSPAN5",0.39
"993","ZNF793",0.39
"994","MAST3",0.389
"995","CDC20",0.387
"996","IDH2",0.386
"997","LDLRAD3",0.386
"998","ATP6V0A1",0.385
"999","BLVRB",0.385
"1000","HIC1",0.384
"1001","TRAM2",0.383
"1002","LPGAT1",0.38
"1003","SIAH2",0.38
"1004","C5orf30",0.379
"1005","TUBGCP6",0.379
"1006","AC058791.1",0.377
"1007","RBAK",0.376
"1008","RTTN",0.376
"1009","KRT18",0.374
"1010","ECE1",0.373
"1011","FBXO27",0.373
"1012","SETMAR",0.373
"1013","ZNF697",0.372
"1014","SLC26A2",0.371
"1015","LRRC16A",0.37
"1016","NTM",0.37
"1017","A1BG",0.369
"1018","UVSSA",0.369
"1019","PARD3B",0.368
"1020","HIST1H1C",0.367
"1021","PAXIP1-AS1",0.366
"1022","TRIO",0.366
"1023","PSMB9",0.365
"1024","THSD4",0.365
"1025","TRIM7",0.365
"1026","ZNF470",0.365
"1027","CTDSPL",0.362
"1028","DLEU1",0.362
"1029","RP5-862P8.2",0.362
"1030","SHC4",0.362
"1031","CCDC18",0.361
"1032","MEMO1",0.361
"1033","JAG2",0.359
"1034","OTX1",0.359
"1035","RND1",0.359
"1036","ANKRD1",0.358
"1037","DNAJB5",0.358
"1038","PRKCA",0.357
"1039","CDKN2B",0.356
"1040","SATB1",0.355
"1041","C11orf96",0.354
"1042","FNDC3A",0.354
"1043","RP11-326I11.3",0.354
"1044","RP3-325F22.5",0.354
"1045","C8orf44",0.352
"1046","RBM8A",0.352
"1047","ABCA12",0.351
"1048","NLRP1",0.351
"1049","PLPP6",0.351
"1050","ZNF354A",0.351
"1051","DOCK8",0.35
"1052","KMT5C",0.35
"1053","CTSD",0.349
"1054","GJA1",0.349
"1055","PLS1",0.349
"1056","RNF43",0.349
"1057","SLC5A3",0.349
"1058","TRIP10",0.349
"1059","RAB30",0.348
"1060","RP11-14N7.2",0.348
"1061","S100A2",0.348
"1062","ADGRF1",0.347
"1063","IP6K1",0.347
"1064","ZCCHC2",0.347
"1065","CENPM",0.345
"1066","MMP15",0.344
"1067","TRPC1",0.344
"1068","ACAT2",0.343
"1069","CYB5D1",0.343
"1070","MCM2",0.343
"1071","ZNF649",0.343
"1072","ADAMTS6",0.342
"1073","SORL1",0.342
"1074","PHLDB2",0.341
"1075","XXbac-B135H6.15",0.341
"1076","ARRDC1-AS1",0.338
"1077","RAB30-AS1",0.338
"1078","TUBA4A",0.337
"1079","ANKRD18B",0.336
"1080","MMD",0.336
"1081","STOML1",0.336
"1082","ZBED6",0.336
"1083","TMEM158",0.335
"1084","SENCR",0.334
"1085","TSPAN4",0.334
"1086","COL17A1",0.333
"1087","LY75",0.333
"1088","DFNA5",0.332
"1089","TMEM121",0.332
"1090","C2CD2L",0.331
"1091","CDCA7L",0.331
"1092","RIMS2",0.331
"1093","ZNF211",0.331
"1094","OVOS2",0.33
"1095","PTPRG",0.33
"1096","LINC01510",0.329
"1097","PIM2",0.329
"1098","TIGD2",0.328
"1099","RP11-526I2.5",0.326
"1100","MPRIP",0.324
"1101","ADD3",0.323
"1102","FGFR3",0.323
"1103","ARNTL2",0.322
"1104","GEMIN5",0.322
